date;home_team;away_team;home_score;away_score;round;
03/11/2019;277;263;4;1;30;
03/11/2019;262;264;4;1;30;
02/11/2019;266;267;0;0;30;
02/11/2019;315;276;0;3;30;
03/11/2019;290;314;2;0;30;
03/11/2019;293;341;1;0;30;
07/11/2019;284;341;2;1;31;
06/11/2019;282;290;2;0;31;
07/11/2019;354;285;2;0;31;
06/11/2019;264;356;3;2;31;
07/11/2019;276;266;0;2;31;
06/11/2019;267;275;1;2;31;
07/11/2019;263;262;0;1;31;
06/11/2019;314;277;1;2;31;
06/11/2019;265;315;1;1;31;
06/11/2019;293;283;0;0;31;
10/11/2019;285;266;2;1;32;
10/11/2019;283;282;0;0;32;
10/11/2019;356;354;1;0;32;
09/11/2019;275;264;1;1;32;
10/11/2019;276;293;0;1;32;
10/11/2019;262;265;3;1;32;
11/11/2019;263;314;2;0;32;
10/11/2019;315;284;0;1;32;
09/11/2019;290;277;0;3;32;
10/11/2019;341;267;0;3;32;
17/11/2019;284;262;0;1;33;
18/11/2019;283;314;0;0;33;
17/11/2019;356;341;3;0;33;
17/11/2019;264;285;0;0;33;
16/11/2019;277;276;1;1;33;
18/11/2019;267;290;1;1;33;
16/11/2019;266;282;1;1;33;
17/11/2019;315;354;1;0;33;
17/11/2019;265;275;1;1;33;
17/11/2019;293;263;1;0;33;
24/11/2019;285;356;2;2;34;
24/11/2019;282;293;0;1;34;
24/11/2019;354;276;1;1;34;
24/11/2019;275;284;1;2;34;
23/11/2019;277;283;4;1;34;
;;;;;;
24/11/2019;263;264;1;0;34;
24/11/2019;314;315;0;1;34;
24/11/2019;290;265;4;3;34;
25/11/2019;341;266;0;1;34;
27/11/2019;285;290;1;2;35;
28/11/2019;283;341;0;1;35;
28/11/2019;356;277;2;1;35;
27/11/2019;264;314;3;0;35;
28/11/2019;276;267;1;0;35;
27/11/2019;262;354;4;1;35;
28/11/2019;266;275;1;0;35;
27/11/2019;315;263;0;1;35;
27/11/2019;265;282;1;1;35;
27/11/2019;293;284;2;0;35;
01/12/2019;284;276;3;0;36;
01/12/2019;282;264;2;1;36;
30/11/2019;354;293;1;1;36;
01/12/2019;275;262;1;3;36;
01/12/2019;277;315;2;0;36;
02/12/2019;267;283;1;0;36;
30/11/2019;263;285;0;1;36;
01/12/2019;314;266;1;1;36;
01/12/2019;290;356;1;2;36;
01/12/2019;341;265;1;2;36;
05/12/2019;284;283;2;0;37;
04/12/2019;282;263;2;0;37;
04/12/2019;354;264;0;1;37;
05/12/2019;275;290;5;1;37;
04/12/2019;276;285;2;1;37;
05/12/2019;262;314;6;1;37;
04/12/2019;266;356;0;0;37;
04/12/2019;315;341;3;0;37;
05/12/2019;265;267;1;1;37;
04/12/2019;293;277;1;0;37;
08/12/2019;285;282;2;1;38;
08/12/2019;283;275;0;2;38;
08/12/2019;356;265;2;1;38;
08/12/2019;264;266;1;2;38;
08/12/2019;277;262;4;0;38;
08/12/2019;267;315;1;1;38;
08/12/2019;263;354;1;1;38;
08/12/2019;314;293;0;0;38;
08/12/2019;290;284;3;2;38;
08/12/2019;341;276;1;2;38;
21/08/2019;293;276;0;1;13;
18/08/2019;276;354;1;0;15;
10/09/2019;275;266;0;3;16;
29/09/2019;282;267;1;2;21;
29/09/2019;315;264;0;1;21;
25/11/2019;262;267;4;4;34;
;;;;;;
